NAME;RA2000;DE2000;P0;P1;AGE;DIST
J2151+2315;327.87042;23.25356;0.593533613;7.08E-16;1.42;1.33E7
J2156+2618;329.09877;26.30846;0.49814907254;1.42E-17;4.71;5.56E8
J2002+1637;300.69904;16.62131;0.27649748362;2.25E-16;6.1;1.95E7
J2040+1657;310.07444;16.95846;0.865606225032;5.949E-16;3.51;2.31E7
J2043+1711;310.83701;17.19137;0.00237987896026;5.24E-21;1.25;7.2E9
J2033+1734;308.36466;17.58296;0.00594895753485;1.1112E-20;1.37;8.48E9
J2016+1948;304.23935;19.79766;0.06494038824151;4.0063E-19;1.83;2.57E9
J2027+2146;306.81954;21.7679;0.398173021652;2.028E-16;10.09;3.11E7
J2037+1942;309.31058;19.71508;2.0743770781;2.04E-15;2.05;1.61E7
J2030+2228;307.66853;22.47273;0.630512646679;8.8535E-16;4.75;1.13E7
J1946+1805;296.72102;18.09479;0.4406184769108;2.4092E-17;0.3;2.9E8
J1953+1846A;298.44167;18.77833;0.004888;;6.68;0
J2007+20;301.75;20.35;4.634;;3.72;0
J1959+2048;299.90321;20.8042;0.00160740168481;1.68515E-20;1.53;1.51E9
J1942+1743;295.50429;17.72453;0.69626221476;1.01E-16;9.83;1.09E8
J1944+1755;296.1325;17.92844;1.9968990135;7.3E-16;9.5;4.33E7
J1945+1834;296.40042;18.57225;1.06870769134;2.42E-16;12.77;7.0E7
J1947+1957;296.83098;19.95233;0.157508542541;5.226E-16;9.51;4780000.0
J1934+19;293.5;19.0;0.23099;;4.74;0
J1932+1916;293.08208;19.2775;0.208214903876;9.31735E-14;;35400.0
J1931+1952;292.98277;19.86986;0.501123112694;1.008E-16;22.62;7.88E7
J1936+20;294.0;20.0;1.39088;;9.03;0
J1938+2012;294.5;20.2;0.00263;;9.42;0
J1935+2025;293.92475;20.42781;0.080118133455;6.07579E-14;8.64;20900.0
J1938+2010;294.53475;20.18103;0.68708185664;3.399E-15;14.36;3200000.0
J1939+2134;294.91067;21.58309;0.00155780655654;1.051045E-19;1.5;2.35E8
J1943+2210;295.81871;22.1731;0.00508417368995;8.8E-21;8.35;9.17E9
J1944+2236;296.00446;22.60628;0.00361799307811;7.5E-21;8.46;7.68E9
J1946+2244;296.60371;22.74983;1.33444985809;8.89E-16;7.09;2.38E7
J1949+2306;297.2805;23.11542;1.3193733853;1.231E-16;8.65;1.7E8
J2017+2043;304.37057;20.72553;0.537143086032;9.9555E-16;3.55;8550000.0
J2019+2425;304.88312;24.42092;0.00393452408033;7.0237E-21;0.91;8.88E9
J2008+2513;302.14784;25.2251;0.58919550332;5.395E-15;3.22;1730000.0
J1957+2516;299.25;25.26667;0.00396;;2.29;0
J2015+2524;303.80292;25.40869;2.3032990816;5.1E-16;0.69;7.16E7
J2007+2722;301.81595;27.37998;0.02449738854593;9.611E-19;6.85;4.04E8
J2018+2839;304.51597;28.66506;0.5579534804225;1.481058E-16;0.98;5.97E7
J2010+2845;302.52112;28.7581;0.5653693451984;9.072E-17;6.03;9.87E7
J2055+2209;313.91313;22.15756;0.8151811027646;1.340139E-15;2.15;9640000.0
J2048+2255;312.19112;22.91814;0.2839009641977;1.516E-17;6.18;2.97E8
J2055+2539;313.95333;25.66722;0.3195611745;4.08E-15;;1240000.0
J2105+28;316.5;28.48333;0.405737;;4.58;0
J2113+2754;318.26829;27.90064;1.2028517540847;2.622965E-15;2.61;7270000.0
J2043+2740;310.93125;27.68222;0.09613056295;1.27E-15;1.13;1200000.0
J2036+2835;309.19318;28.58623;1.35872676315;2.09E-15;6.78;1.03E7
J2022+2854;305.65445;28.90642;0.343402157786;1.894195E-15;2.1;2870000.0
J2038+35;309.5;35.0;0.16;;3.12;0
J2055+3630;313.88063;36.50596;0.221507638277;3.691271E-16;5.0;9510000.0
J2102+38;315.5;38.0;1.19;;4.86;0
J2234+2114;338.736;21.23856;1.35874531269;2.22E-16;3.38;9.7E7
J2229+2643;337.46203;26.73272;0.00297781929476;1.46E-21;1.43;3.23E10
J2305+3100;346.49302;31.00049;1.575886338359;2.8925E-15;2.61;8630000.0
J2204+27;331.16667;27.03333;0.0847;;2.61;0
J2222+2923;335.76343;29.39962;0.2813991427542;6.17E-18;4.46;7.23E8
J2227+30;336.875;30.6;0.842408;;2.36;0
J2212+2933;333.09729;29.55158;1.004592528853;4.9517E-16;4.76;3.21E7
J2214+3000;333.66188;30.01061;0.00311922657908;1.4E-20;1.0;3.53E9
J2155+2813;328.81592;28.22003;1.6090199964;9.164E-16;5.06;2.78E7
J2225+35;336.2;35.5;0.94;;5.56;0
J2313+4253;348.28592;42.88696;0.3494336821331;1.123699E-16;1.06;4.93E7
J2302+4442;345.69574;44.70614;0.00519232464641;1.33E-20;0.75;6.19E9
J2305+4707;346.48268;47.12926;1.066371071565;5.6909E-16;4.35;2.97E7
J2207+40;331.75;40.95;0.6369852;;0.64;0
J2157+4017;329.25771;40.29611;1.525265633965;3.43256E-15;2.9;7040000.0
J2111+40;317.75;40.0;4.061;;7.21;0
J2203+50;330.75;50.0;0.745;;3.6;0
J2139+4716;324.98313;47.27028;0.282849345409;1.7857E-15;;2510000.0
J2138+4911;324.5;49.18333;0.696;;7.49;0
J2150+5247;327.65722;52.79712;0.3322056715409;1.0105979E-14;5.67;521000.0
J2219+4754;334.95058;47.91498;0.5384688219194;2.765209E-15;2.61;3090000.0
J2215+5135;333.8862;51.59343;0.00260961972345;3.34E-20;3.26;1.24E9
J2213+53;333.25;53.0;0.751;;7.58;0
J2208+5500;332.09883;55.00234;0.93316107478;6.9878E-15;3.55;2120000.0
J2222+5602;335.5;56.0;1.336;;7.22;0
J2240+5832;340.17891;58.54376;0.1399345;1.5358E-14;14.85;144000.0
J2238+5903;339.61779;59.06133;0.16273385299;9.7034E-14;;26600.0
J2308+5547;347.05759;55.79334;0.4750676748022;1.99491E-16;2.42;3.77E7
